,geometry,KdNT,Hustu,PIN,PAR,MAN,PNP,FOL-PAN,MFK,PS,MKP,MP,totalkiezers,total,area,invarea,lat,lon,pctKiezers,winner,bario
Barber,"POLYGON ((-69.071967 12.252153, -69.072874 12.25275, -69.07362 12.253081, -69.074407 12.253503, -69.075376 12.254157, -69.075953 12.254535, -69.0773 12.25529, -69.077861 12.255841, -69.07838 12.256277, -69.079021 12.256648, -69.07957 12.256864, -69.080026 12.257006, -69.080002 12.257107, -69.079952 12.257293, -69.079932 12.257574, -69.079929 12.257696, -69.079932 12.257819, -69.080017 12.258177, -69.080115 12.258455, -69.080186 12.258699, -69.080221 12.258862, -69.080264 12.258983, -69.080284 12.259134, -69.080324 12.259225, -69.080369 12.259532, -69.080457 12.260128, -69.080479 12.260471, -69.080468 12.260749, -69.080326 12.261342, -69.079878 12.26269, -69.079805 12.263098, -69.079769 12.264049, -69.079722 12.26466, -69.079744 12.265115, -69.079792 12.265657, -69.079961 12.265705, -69.080176 12.265807, -69.080244 12.265854, -69.080462 12.265937, -69.080523 12.265985, -69.081024 12.266207, -69.082158 12.266748, -69.082518 12.266941, -69.083066 12.267131, -69.083134 12.267169, -69.083167 12.267196, -69.083793 12.267494, -69.083878 12.267532, -69.084098 12.267623, -69.084255 12.26768, -69.084224 12.268201, -69.084225 12.268793, -69.084287 12.269592, -69.084354 12.269881, -69.084501 12.270293, -69.084618 12.270589, -69.084659 12.270914, -69.084666 12.271214, -69.08463 12.271698, -69.084608 12.272103, -69.084598 12.272681, -69.084605 12.27284, -69.084686 12.273194, -69.084686 12.273483, -69.084753 12.273975, -69.084977 12.275071, -69.085128 12.275449, -69.085148 12.275522, -69.085276 12.275833, -69.085342 12.276077, -69.085355 12.276631, -69.085334 12.277087, -69.085246 12.277903, -69.085129 12.278308, -69.08496 12.278698, -69.084821 12.278995, -69.084703 12.27919, -69.084461 12.279898, -69.084359 12.28031, -69.084308 12.280787, -69.08422 12.281069, -69.08386 12.281922, -69.083958 12.281983, -69.084235 12.282189, -69.085109 12.282825, -69.085727 12.283251, -69.08623 12.283659, -69.086671 12.284016, -69.086843 12.282864, -69.08695 12.282013, -69.086972 12.281879, -69.087013 12.281683, -69.087172 12.281259, -69.087216 12.281097, -69.087506 12.280337, -69.087939 12.279795, -69.088195 12.279242, -69.088359 12.278877, -69.088485 12.278575, -69.088682 12.278252, -69.089097 12.277909, -69.089637 12.277779, -69.090213 12.277862, -69.090444 12.277904, -69.090776 12.278008, -69.091504 12.278064, -69.091738 12.27814, -69.092215 12.278329, -69.092315 12.27837, -69.092432 12.278394, -69.09267 12.278498, -69.092778 12.278505, -69.092826 12.278547, -69.093009 12.278631, -69.09311 12.278663, -69.093284 12.278704, -69.093225 12.278955, -69.093081 12.279246, -69.092953 12.279491, -69.092766 12.2799, -69.092422 12.28047, -69.091925 12.281114, -69.091225 12.282138, -69.09084 12.282976, -69.090808 12.283247, -69.090909 12.284187, -69.09095 12.284461, -69.091028 12.284805, -69.09115 12.285153, -69.091187 12.285417, -69.091156 12.285525, -69.091118 12.285612, -69.091072 12.285695, -69.091 12.285787, -69.090869 12.28594, -69.090832 12.286036, -69.090789 12.28616, -69.09073 12.286323, -69.090654 12.286493, -69.090558 12.286647, -69.090452 12.286834, -69.090418 12.286913, -69.090465 12.286983, -69.09063 12.287062, -69.090929 12.287207, -69.091407 12.287456, -69.091732 12.287597, -69.091645 12.287993, -69.091666 12.288472, -69.091859 12.288439, -69.092282 12.288459, -69.092578 12.288512, -69.092763 12.288558, -69.093456 12.288875, -69.094116 12.289205, -69.094338 12.289281, -69.094741 12.289307, -69.095638 12.289154, -69.096052 12.289154, -69.096327 12.28925, -69.096066 12.29004, -69.095913 12.290366, -69.095258 12.291083, -69.095114 12.291254, -69.09524 12.291316, -69.095508 12.291367, -69.095766 12.291381, -69.096037 12.291367, -69.096238 12.291378, -69.096415 12.291415, -69.09651 12.291418, -69.096642 12.291348, -69.097152 12.291159, -69.097541 12.291054, -69.097785 12.29097, -69.097972 12.290981, -69.0996 12.291403, -69.100771 12.291773, -69.100503 12.292497, -69.100046 12.293266, -69.09941 12.294046, -69.098022 12.295372, -69.097709 12.295632, -69.096681 12.294581, -69.096256 12.294192, -69.094122 12.292531, -69.092503 12.291309, -69.091742 12.290959, -69.090918 12.290784, -69.090569 12.29077, -69.090283 12.290781, -69.08698 12.291139, -69.086625 12.291185, -69.085476 12.291301, -69.085228 12.291301, -69.083948 12.29114, -69.083877 12.291131, -69.083518 12.291008, -69.083259 12.290904, -69.083056 12.291288, -69.08268 12.292088, -69.082372 12.292776, -69.081769 12.294068, -69.081112 12.293852, -69.080795 12.293766, -69.080512 12.293668, -69.080268 12.293592, -69.080043 12.293487, -69.079213 12.29317, -69.07912 12.29315, -69.079048 12.293108, -69.078109 12.29319, -69.077957 12.293251, -69.076842 12.293398, -69.075848 12.293585, -69.075484 12.293613, -69.07438 12.293822, -69.074213 12.293898, -69.073869 12.293522, -69.07372 12.293302, -69.073065 12.292709, -69.07252 12.292093, -69.071986 12.29161, -69.071153 12.290691, -69.070741 12.290047, -69.070659 12.289099, -69.070689 12.288436, -69.070973 12.287902, -69.071109 12.28752, -69.071183 12.287359, -69.071368 12.287128, -69.071706 12.286725, -69.072064 12.286278, -69.072477 12.285539, -69.07255 12.285363, -69.07189 12.285143, -69.071695 12.285102, -69.070893 12.284933, -69.070365 12.284873, -69.06932 12.284992, -69.06877 12.284841, -69.068303 12.28476, -69.067965 12.284624, -69.067822 12.284562, -69.067331 12.28428, -69.066992 12.284046, -69.066023 12.283408, -69.065847 12.283277, -69.064867 12.282643, -69.063856 12.281943, -69.063754 12.281857, -69.063692 12.281765, -69.063631 12.28162, -69.063502 12.281229, -69.063288 12.280428, -69.063153 12.279822, -69.063078 12.279551, -69.063028 12.279109, -69.062956 12.278631, -69.06293 12.278407, -69.06299 12.277979, -69.063133 12.277457, -69.063357 12.276661, -69.063485 12.275772, -69.063626 12.275038, -69.063685 12.274843, -69.063839 12.274679, -69.063983 12.274615, -69.06414 12.274332, -69.064212 12.273958, -69.064198 12.273649, -69.06411 12.273332, -69.063718 12.27279, -69.063656 12.272638, -69.063557 12.27254, -69.06347 12.272398, -69.063508 12.272159, -69.063585 12.272013, -69.063746 12.271662, -69.063844 12.271655, -69.064655 12.269736, -69.06496 12.269014, -69.066026 12.266396, -69.066446 12.265683, -69.067345 12.26394, -69.067627 12.263181, -69.067871 12.262554, -69.067905 12.262457, -69.067896 12.262416, -69.067888 12.262396, -69.067876 12.262379, -69.067868 12.26237, -69.067847 12.262359, -69.067836 12.262353, -69.067814 12.262343, -69.067738 12.262296, -69.067693 12.262265, -69.067572 12.262194, -69.067456 12.262118, -69.067343 12.262042, -69.067287 12.262016, -69.067219 12.261973, -69.067157 12.261932, -69.0671 12.261891, -69.06693 12.261778, -69.06687 12.261744, -69.066534 12.261635, -69.066388 12.261595, -69.066132 12.261484, -69.065757 12.261263, -69.065478 12.261094, -69.065385 12.261041, -69.065153 12.260944, -69.064915 12.26087, -69.064761 12.260824, -69.064415 12.2607, -69.064412 12.260654, -69.064415 12.260412, -69.064428 12.260183, -69.065177 12.259382, -69.065486 12.259061, -69.065642 12.258885, -69.065686 12.258837, -69.065776 12.258746, -69.065888 12.257882, -69.065938 12.257429, -69.065941 12.257345, -69.065831 12.256802, -69.065725 12.256348, -69.065729 12.256191, -69.065833 12.256036, -69.065982 12.255821, -69.067004 12.254524, -69.067145 12.254627, -69.067326 12.254748, -69.067397 12.254797, -69.067525 12.254873, -69.067824 12.255007, -69.06807 12.255101, -69.068179 12.255138, -69.068315 12.255177, -69.068614 12.255279, -69.068727 12.255319, -69.06882 12.255356, -69.068907 12.255388, -69.068942 12.255401, -69.068958 12.25541, -69.068973 12.255423, -69.068983 12.255439, -69.069008 12.255472, -69.069056 12.255553, -69.06908 12.255593, -69.069106 12.255645, -69.069119 12.255669, -69.069217 12.255913, -69.069383 12.256303, -69.069422 12.256384, -69.069475 12.256493, -69.069589 12.256568, -69.069851 12.256533, -69.070097 12.256529, -69.070144 12.256403, -69.070231 12.255999, -69.070549 12.253897, -69.070731 12.253022, -69.07114 12.251711, -69.071967 12.252153))",218.0,55.0,92.0,165.0,755.0,72.0,14.0,772.0,97.0,50.0,90.0,2380.0,2516.0,7487.155910000037,1335.6206442347147,-69.07684044308503,12.275808325550669,63.04537412457789,MFK,Barber
Berg Altena,"POLYGON ((-68.923259 12.103077, -68.922378 12.10351, -68.921871 12.103759, -68.921533 12.104358, -68.921406 12.104659, -68.921302 12.104829, -68.921199 12.104999, -68.920955 12.105011, -68.920946 12.105053, -68.920635 12.104936, -68.920497 12.1049, -68.920415 12.105343, -68.920283 12.105759, -68.920036 12.105841, -68.919903 12.105896, -68.919798 12.105942, -68.919657 12.106013, -68.919454 12.106133, -68.919377 12.106183, -68.919127 12.106355, -68.918904 12.106509, -68.918741 12.106633, -68.918709 12.10666, -68.918661 12.106704, -68.918592 12.106777, -68.918531 12.106854, -68.918434 12.106998, -68.918382 12.107087, -68.918323 12.107192, -68.918279 12.10728, -68.918204 12.107453, -68.918146 12.107594, -68.917994 12.107949, -68.917911 12.107929, -68.917654 12.107838, -68.917087 12.107721, -68.916426 12.107749, -68.915624 12.107988, -68.915334 12.108051, -68.915141 12.108049, -68.914909 12.107978, -68.914722 12.107864, -68.914554 12.107674, -68.914405 12.107408, -68.914213 12.106898, -68.914056 12.106623, -68.913588 12.106031, -68.91351 12.105898, -68.913329 12.105939, -68.912897 12.104601, -68.914361 12.104117, -68.9145 12.103995, -68.914528 12.103941, -68.914587 12.103827, -68.914576 12.103527, -68.914534 12.103417, -68.914096 12.101974, -68.91404 12.101731, -68.913961 12.101146, -68.913936 12.100615, -68.914393 12.100605, -68.914893 12.100585, -68.915239 12.100572, -68.915633 12.100537, -68.915715 12.100533, -68.915942 12.100546, -68.91658 12.100607, -68.916659 12.100274, -68.916742 12.100092, -68.916811 12.099988, -68.916882 12.099911, -68.91701 12.099727, -68.917228 12.099517, -68.917358 12.099393, -68.917439 12.099284, -68.917497 12.0992, -68.91764 12.099007, -68.917842 12.09874, -68.917788 12.09871, -68.917967 12.098441, -68.918667 12.097444, -68.925233 12.100682, -68.924759 12.101992, -68.924436 12.10238, -68.923348 12.103038, -68.923259 12.103077))",120.0,73.0,75.0,326.0,289.0,63.0,10.0,236.0,94.0,37.0,70.0,1393.0,1364.0,702.453944999909,14235.808726223746,-68.91857512695213,12.102815893356402,63.57636391301942,PAR,Berg Altena
Bonam,"POLYGON ((-68.893232 12.143561, -68.893159 12.143941, -68.89295 12.14428, -68.892242 12.145376, -68.891485 12.146549, -68.890798 12.147585, -68.88939 12.147225, -68.888202 12.146765, -68.887496 12.146432, -68.886877 12.146126, -68.886733 12.146087, -68.8865 12.146062, -68.886006 12.146113, -68.886035 12.146283, -68.88606 12.146878, -68.886049 12.147352, -68.886024 12.147905, -68.885766 12.151065, -68.88572 12.151344, -68.884055 12.150956, -68.883363 12.150886, -68.883022 12.150956, -68.882565 12.151277, -68.881502 12.152094, -68.881131 12.152336, -68.880667 12.152472, -68.88022 12.152512, -68.878548 12.152632, -68.877123 12.152751, -68.875477 12.152885, -68.874831 12.152903, -68.873594 12.152937, -68.872881 12.152939, -68.872713 12.152924, -68.871946 12.152853, -68.871504 12.152802, -68.871237 12.152771, -68.870074 12.152658, -68.868702 12.152513, -68.867697 12.152373, -68.867096 12.152351, -68.866216 12.152308, -68.865465 12.152009, -68.86433 12.151389, -68.863519 12.151251, -68.862934 12.151251, -68.861992 12.151422, -68.862095 12.150045, -68.862307 12.148933, -68.86233 12.148362, -68.862197 12.147955, -68.861842 12.147317, -68.861575 12.146929, -68.860325 12.145495, -68.860105 12.145294, -68.860043 12.144307, -68.859966 12.143775, -68.859977 12.143635, -68.859993 12.143572, -68.860051 12.143436, -68.860154 12.14321, -68.860259 12.142954, -68.860413 12.142615, -68.86069 12.142709, -68.860949 12.142754, -68.861991 12.142818, -68.862281 12.142836, -68.862742 12.142884, -68.862852 12.14291, -68.86306 12.142931, -68.864022 12.143138, -68.864509 12.143292, -68.864808 12.143446, -68.865009 12.143536, -68.86552 12.143764, -68.866868 12.144026, -68.867946 12.144189, -68.868061 12.144136, -68.868112 12.143983, -68.868195 12.14345, -68.868197 12.143361, -68.868205 12.143121, -68.867853 12.142711, -68.867493 12.142192, -68.867234 12.141676, -68.86718 12.141651, -68.867097 12.141494, -68.867034 12.141308, -68.866998 12.141072, -68.866973 12.140788, -68.866873 12.140503, -68.866786 12.140427, -68.866627 12.14042, -68.866171 12.140451, -68.865782 12.140447, -68.865469 12.140475, -68.864529 12.140446, -68.864245 12.140429, -68.864514 12.140153, -68.86501 12.13953, -68.865132 12.139348, -68.865383 12.138784, -68.865459 12.138385, -68.865578 12.138418, -68.865773 12.138485, -68.86595 12.138575, -68.866764 12.138858, -68.866941 12.138936, -68.867232 12.13904, -68.867504 12.139121, -68.868227 12.139335, -68.86851 12.139303, -68.868722 12.139332, -68.869006 12.139348, -68.869125 12.139383, -68.869654 12.139503, -68.869842 12.13951, -68.869971 12.139634, -68.870304 12.139811, -68.870522 12.140022, -68.871189 12.140242, -68.871757 12.140489, -68.871853 12.14052, -68.872112 12.140499, -68.872382 12.140522, -68.872646 12.140647, -68.872776 12.140656, -68.872899 12.140637, -68.873184 12.140654, -68.873323 12.140635, -68.873839 12.14058, -68.874069 12.140566, -68.874472 12.14045, -68.874806 12.140312, -68.874937 12.140294, -68.875323 12.14033, -68.875353 12.140036, -68.875586 12.139734, -68.875797 12.139382, -68.875912 12.139201, -68.876086 12.138675, -68.876309 12.138183, -68.876566 12.137905, -68.876614 12.13774, -68.876828 12.137385, -68.876881 12.137353, -68.876933 12.137345, -68.877077 12.137386, -68.87732 12.137386, -68.877796 12.137412, -68.877868 12.136278, -68.878861 12.135668, -68.879935 12.135458, -68.880124 12.135575, -68.880342 12.135656, -68.882175 12.135918, -68.882922 12.135743, -68.883145 12.135732, -68.883446 12.135687, -68.883915 12.135715, -68.884147 12.135744, -68.884838 12.135882, -68.885303 12.136021, -68.885436 12.135552, -68.886936 12.135753, -68.887609 12.134708, -68.887951 12.134191, -68.888541 12.133353, -68.888775 12.133528, -68.889553 12.134135, -68.889755 12.134372, -68.891446 12.136756, -68.891597 12.136983, -68.891869 12.137525, -68.891954 12.137761, -68.892176 12.138431, -68.892391 12.139107, -68.892496 12.139454, -68.892534 12.139783, -68.892522 12.140469, -68.892496 12.141031, -68.892513 12.141228, -68.892551 12.141437, -68.892631 12.141668, -68.89275 12.141912, -68.89282 12.142067, -68.89302 12.142478, -68.893081 12.142633, -68.893208 12.143325, -68.893232 12.143561))",924.0,390.0,466.0,2202.0,2038.0,366.0,86.0,1756.0,462.0,298.0,542.0,9530.0,1451.0,3976.0609650000424,2515.0519793400335,-68.87766813028831,12.144459493319806,64.7303477044154,PAR,Bonam
Brievengat zone,"POLYGON ((-68.898132 12.152321, -68.899223 12.153685, -68.899422 12.153807, -68.899809 12.154045, -68.899953 12.154271, -68.899995 12.154856, -68.9002 12.155701, -68.900291 12.156391, -68.900497 12.156977, -68.900597 12.157298, -68.900649 12.157538, -68.900658 12.158422, -68.900479 12.159593, -68.900389 12.160327, -68.900355 12.160643, -68.900308 12.160952, -68.899812 12.161857, -68.899451 12.162374, -68.899288 12.162613, -68.898238 12.164159, -68.89339 12.16186, -68.892013 12.161951, -68.890368 12.167632, -68.88971 12.16836, -68.886945 12.16882, -68.879603 12.168019, -68.879622 12.167622, -68.879543 12.167326, -68.8796 12.167092, -68.87955 12.166792, -68.879544 12.166419, -68.879474 12.166124, -68.879369 12.165915, -68.879392 12.165756, -68.879291 12.165543, -68.87925 12.165405, -68.879289 12.165293, -68.879294 12.165127, -68.879384 12.165058, -68.879442 12.164984, -68.8795 12.164886, -68.879623 12.164821, -68.879737 12.164549, -68.879763 12.164219, -68.879687 12.163911, -68.879583 12.16369, -68.879468 12.163522, -68.879453 12.163341, -68.879244 12.163141, -68.879163 12.163008, -68.878995 12.162929, -68.878784 12.16288, -68.878528 12.162643, -68.878344 12.162595, -68.878225 12.162524, -68.877965 12.162436, -68.877843 12.162273, -68.87777 12.162281, -68.877699 12.16229, -68.877525 12.162289, -68.877318 12.162211, -68.877032 12.161872, -68.876741 12.161507, -68.876537 12.161292, -68.876486 12.161087, -68.876404 12.160688, -68.876373 12.160477, -68.876574 12.160312, -68.876527 12.160111, -68.876473 12.159798, -68.876377 12.159484, -68.875578 12.159112, -68.874957 12.158834, -68.874461 12.158525, -68.873927 12.158267, -68.873401 12.158028, -68.872836 12.157815, -68.872488 12.157462, -68.872362 12.157144, -68.872257 12.156786, -68.87243 12.156258, -68.872722 12.156119, -68.872994 12.156182, -68.873143 12.156182, -68.873243 12.156177, -68.873852 12.155239, -68.874745 12.154048, -68.875003 12.153693, -68.875477 12.152885, -68.877123 12.152751, -68.878548 12.152632, -68.88022 12.152512, -68.880667 12.152472, -68.881131 12.152336, -68.881502 12.152094, -68.882565 12.151277, -68.883022 12.150956, -68.883363 12.150886, -68.884055 12.150956, -68.88572 12.151344, -68.885766 12.151065, -68.886024 12.147905, -68.886049 12.147352, -68.88606 12.146878, -68.886035 12.146283, -68.886006 12.146113, -68.8865 12.146062, -68.886733 12.146087, -68.886877 12.146126, -68.887496 12.146432, -68.888202 12.146765, -68.88939 12.147225, -68.890798 12.147585, -68.891485 12.146549, -68.892242 12.145376, -68.89295 12.14428, -68.893159 12.143941, -68.893232 12.143561, -68.893208 12.143325, -68.893081 12.142633, -68.893335 12.143104, -68.893472 12.142651, -68.893564 12.143272, -68.893688 12.143774, -68.894716 12.144826, -68.895337 12.14544, -68.89586 12.146005, -68.897008 12.147058, -68.897866 12.147852, -68.898262 12.148056, -68.898819 12.148153, -68.89926 12.148272, -68.899409 12.148376, -68.899498 12.148709, -68.899366 12.149891, -68.899227 12.151246, -68.899109 12.152384, -68.898132 12.152321))",326.0,266.0,351.0,1297.0,1060.0,208.0,97.0,869.0,285.0,151.0,263.0,5173.0,1137.0,4106.59560499983,2435.107072102468,-68.88813863024616,12.157091887129663,68.04459634170736,PAR,Brievengat zone
Buena Vista zone,"POLYGON ((-68.926596 12.145134, -68.926026 12.144541, -68.925641 12.143852, -68.926674 12.143305, -68.927389 12.142926, -68.92849 12.142379, -68.929736 12.141697, -68.931059 12.140972, -68.93316 12.139803, -68.934204 12.138909, -68.9347 12.138525, -68.935236 12.138236, -68.937215 12.137733, -68.938647 12.137361, -68.940431 12.136904, -68.940762 12.136858, -68.940859 12.13747, -68.940902 12.137811, -68.941092 12.137819, -68.941084 12.138834, -68.941157 12.139881, -68.942652 12.140223, -68.943546 12.140294, -68.943841 12.140312, -68.94393 12.14051, -68.944158 12.141106, -68.944194 12.142129, -68.944327 12.14228, -68.944006 12.14278, -68.944245 12.142929, -68.944429 12.143161, -68.944784 12.143937, -68.944988 12.14439, -68.945147 12.144919, -68.944719 12.144726, -68.944167 12.144648, -68.943876 12.144618, -68.943487 12.145377, -68.943311 12.145662, -68.942733 12.146322, -68.942311 12.146732, -68.942103 12.146937, -68.941887 12.147256, -68.94183 12.147319, -68.941772 12.147793, -68.941866 12.148281, -68.941851 12.148606, -68.941844 12.149087, -68.941147 12.149066, -68.940464 12.14901, -68.939943 12.148974, -68.939753 12.14896, -68.939012 12.148939, -68.938531 12.148953, -68.938116 12.148983, -68.937082 12.149156, -68.936491 12.149184, -68.936722 12.149601, -68.936856 12.150136, -68.93694 12.150472, -68.936984 12.15084, -68.936898 12.151147, -68.936672 12.15178, -68.936489 12.152096, -68.936336 12.152296, -68.93614 12.152133, -68.935866 12.151901, -68.934915 12.151123, -68.934524 12.150806, -68.934154 12.15057, -68.932686 12.14971, -68.93225 12.149358, -68.931927 12.148972, -68.931833 12.148896, -68.931589 12.148652, -68.930702 12.148091, -68.929666 12.147731, -68.92939 12.147564, -68.928279 12.146659, -68.926596 12.145134))",470.0,164.0,126.0,422.0,651.0,119.0,65.0,881.0,195.0,83.0,166.0,3342.0,1716.0,1577.026474999909,6341.047635234264,-68.9361220506542,12.144121544264696,64.0469625269664,MFK,Buena Vista zone
Domi,"POLYGON ((-68.938538 12.116181, -68.939104 12.114532, -68.9392 12.114397, -68.939108 12.114355, -68.938722 12.114111, -68.938674 12.11408, -68.939085 12.113732, -68.939431 12.11344, -68.940034 12.113206, -68.94022 12.11305, -68.940389 12.112611, -68.940685 12.111464, -68.941093 12.11176, -68.941356 12.111259, -68.941462 12.110705, -68.941875 12.108858, -68.941894 12.108785, -68.943815 12.109285, -68.945402 12.109696, -68.947726 12.110318, -68.947483 12.11094, -68.947277 12.110883, -68.947079 12.110962, -68.946936 12.111371, -68.946857 12.111351, -68.946572 12.112143, -68.945954 12.112598, -68.945756 12.113156, -68.946173 12.113296, -68.946942 12.113569, -68.947441 12.113781, -68.947706 12.113882, -68.947881 12.113941, -68.948169 12.114075, -68.948747 12.114468, -68.948872 12.114658, -68.948895 12.114696, -68.948927 12.114748, -68.949002 12.114878, -68.949033 12.114985, -68.948894 12.115151, -68.948375 12.1157, -68.948153 12.115924, -68.947884 12.115979, -68.947903 12.116102, -68.947182 12.116226, -68.946962 12.11624, -68.946643 12.116277, -68.946636 12.116465, -68.946601 12.116681, -68.946539 12.116877, -68.946472 12.117115, -68.946452 12.117255, -68.946442 12.117385, -68.946451 12.11756, -68.946483 12.117686, -68.946522 12.117788, -68.946583 12.11789, -68.946754 12.118134, -68.947149 12.118614, -68.94732 12.1189, -68.947411 12.119194, -68.947462 12.119453, -68.947492 12.119616, -68.94749 12.119776, -68.947488 12.120567, -68.947524 12.120885, -68.947591 12.121201, -68.947644 12.121391, -68.94779 12.121603, -68.947727 12.121585, -68.947943 12.121908, -68.948083 12.122254, -68.948335 12.122747, -68.9485 12.12315, -68.947921 12.12337, -68.943344 12.124311, -68.941665 12.121932, -68.936324 12.120267, -68.937871 12.118123, -68.938538 12.116181))",139.0,76.0,116.0,384.0,305.0,66.0,22.0,392.0,85.0,46.0,79.0,1710.0,1053.0,1125.3866300001196,8885.835084071452,-68.94327179614723,12.116919728499488,51.63921068392613,MFK,Domi
Fortuna,"POLYGON ((-68.944215 12.176394, -68.94431 12.176057, -68.94438 12.17569, -68.944513 12.174398, -68.944679 12.172714, -68.94318 12.1722, -68.942673 12.171993, -68.942241 12.171835, -68.941457 12.171559, -68.940876 12.171386, -68.939964 12.171221, -68.939174 12.1711, -68.938338 12.171009, -68.937986 12.171111, -68.937414 12.171248, -68.937351 12.171257, -68.936988 12.17128, -68.936769 12.171271, -68.936517 12.171241, -68.936093 12.171162, -68.936038 12.171152, -68.935677 12.171047, -68.935468 12.170942, -68.935332 12.170849, -68.935069 12.170682, -68.934551 12.170413, -68.934184 12.170222, -68.933954 12.170086, -68.93383 12.169991, -68.933616 12.169792, -68.933445 12.169604, -68.933149 12.16927, -68.933047 12.169155, -68.93285 12.168946, -68.932673 12.168804, -68.93258 12.168747, -68.932418 12.168665, -68.93236 12.168639, -68.931948 12.168456, -68.931509 12.168278, -68.931246 12.168146, -68.931034 12.168062, -68.930683 12.167966, -68.929986 12.167818, -68.929763 12.16777, -68.929475 12.167725, -68.929192 12.168301, -68.929172 12.168344, -68.92857 12.168095, -68.928362 12.168151, -68.928227 12.168339, -68.928001 12.168803, -68.927751 12.16923, -68.927611 12.169295, -68.927397 12.169264, -68.927153 12.169163, -68.926754 12.169007, -68.926287 12.168803, -68.926143 12.169193, -68.925666 12.169785, -68.925162 12.170451, -68.924913 12.170867, -68.924087 12.171962, -68.924274 12.172643, -68.923043 12.174364, -68.922384 12.175919, -68.922914 12.176379, -68.923213 12.176985, -68.923618 12.177305, -68.923967 12.177716, -68.924459 12.178254, -68.924772 12.178454, -68.92483 12.17859, -68.924898 12.178666, -68.928326 12.180229, -68.93283 12.182282, -68.93437 12.181974, -68.935211 12.18139, -68.936216 12.17989, -68.936206 12.179837, -68.936193 12.179719, -68.936007 12.179418, -68.935741 12.179117, -68.935595 12.178881, -68.935409 12.178698, -68.935236 12.178528, -68.935063 12.178489, -68.934877 12.178633, -68.934942 12.178026, -68.93735 12.178588, -68.937695 12.178594, -68.938119 12.178343, -68.938958 12.177812, -68.939978 12.177399, -68.940523 12.177329, -68.941071 12.177214, -68.941669 12.176732, -68.942477 12.176441, -68.942848 12.176183, -68.943072 12.176095, -68.943383 12.176102, -68.944215 12.176394))",358.0,41.0,33.0,83.0,187.0,35.0,42.0,408.0,93.0,28.0,58.0,1366.0,2218.0,1885.4678599998672,5303.723395211152,-68.93263684028331,12.174849281907617,61.56818833776665,MFK,Fortuna
