,Totaal
UKPK,3962
VISHON,3541
KdNT,3521
MP,1461
TPK,4413
DP,2391
KEM,4542
MKP,2454
PNP,10573
PAR,11781
PIN,3733
MAN,5463
MFK,23554
PS,1216
KUMUN,2241
